--- Demand Distribution ---
Demand    Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Lead Time Distribution ---
Lead Time Prob      Cum Prob  Range          
2         0.25      0.25      1-25
3         0.25      0.50      26-50
4         0.25      0.75      51-75
5         0.25      1.00      76-100

--- Simulation Log ---
day          | begin_inv    | rd_demand    | demand       | end_inv      | backorder    | order_qty    | rd_lead      | lead_time    | days_until_arrival
114          | 0            | 71           | 4            | 0            | 252          | 0            | 0            | 0            | 3           
115          | 0            | 9            | 2            | 0            | 254          | 0            | 0            | 0            | 2           
116          | 0            | 62           | 4            | 0            | 258          | 0            | 0            | 0            | 1           
117          | 0            | 78           | 5            | 0            | 253          | 0            | 0            | 0            | 0           
118          | 0            | 96           | 5            | 0            | 258          | 0            | 0            | 0            | 0           
119          | 0            | 90           | 5            | 0            | 263          | 10           | 80           | 5            | 5           
120          | 0            | 74           | 4            | 0            | 267          | 0            | 0            | 0            | 4           
121          | 0            | 29           | 3            | 0            | 270          | 0            | 0            | 0            | 3           
122          | 0            | 16           | 2            | 0            | 272          | 0            | 0            | 0            | 2           
123          | 0            | 48           | 3            | 0            | 275          | 0            | 0            | 0            | 1           
124          | 0            | 33           | 3            | 0            | 268          | 0            | 0            | 0            | 0           
125          | 0            | 85           | 5            | 0            | 273          | 0            | 0            | 0            | 0           
126          | 0            | 75           | 4            | 0            | 277          | 10           | 32           | 3            | 3           
127          | 0            | 72           | 4            | 0            | 281          | 0            | 0            | 0            | 2           
128          | 0            | 74           | 4            | 0            | 285          | 0            | 0            | 0            | 1           
129          | 0            | 74           | 4            | 0            | 279          | 0            | 0            | 0            | 0           
130          | 0            | 73           | 4            | 0            | 283          | 0            | 0            | 0            | 0           
131          | 0            | 69           | 4            | 0            | 287          | 0            | 0            | 0            | 0           
132          | 0            | 15           | 2            | 0            | 289          | 0            | 0            | 0            | 0           
133          | 0            | 33           | 3            | 0            | 292          | 10           | 4            | 2            | 2           
134          | 0            | 99           | 5            | 0            | 297          | 0            | 0            | 0            | 1           
135          | 0            | 4            | 2            | 0            | 289          | 0            | 0            | 0            | 0           
136          | 0            | 67           | 4            | 0            | 293          | 0            | 0            | 0            | 0           
137          | 0            | 16           | 2            | 0            | 295          | 0            | 0            | 0            | 0           
138          | 0            | 55           | 4            | 0            | 299          | 0            | 0            | 0            | 0           
139          | 0            | 5            | 2            | 0            | 301          | 0            | 0            | 0            | 0           
140          | 0            | 24           | 2            | 0            | 303          | 10           | 52           | 4            | 4           
141          | 0            | 78           | 5            | 0            | 308          | 0            | 0            | 0            | 3           
142          | 0            | 68           | 4            | 0            | 312          | 0            | 0            | 0            | 2           
143          | 0            | 47           | 3            | 0            | 315          | 0            | 0            | 0            | 1           
144          | 0            | 2            | 2            | 0            | 307          | 0            | 0            | 0            | 0           
145          | 0            | 10           | 2            | 0            | 309          | 0            | 0            | 0            | 0           
146          | 0            | 15           | 2            | 0            | 311          | 0            | 0            | 0            | 0           
147          | 0            | 67           | 4            | 0            | 315          | 10           | 50           | 3            | 3           
148          | 0            | 29           | 3            | 0            | 318          | 0            | 0            | 0            | 2           
149          | 0            | 7            | 2            | 0            | 320          | 0            | 0            | 0            | 1           
150          | 0            | 23           | 2            | 0            | 312          | 0            | 0            | 0            | 0           
151          | 0            | 91           | 5            | 0            | 317          | 0            | 0            | 0            | 0           
152          | 0            | 20           | 2            | 0            | 319          | 0            | 0            | 0            | 0           
153          | 0            | 77           | 5            | 0            | 324          | 0            | 0            | 0            | 0           
154          | 0            | 27           | 3            | 0            | 327          | 10           | 32           | 3            | 3           
155          | 0            | 66           | 4            | 0            | 331          | 0            | 0            | 0            | 2           
156          | 0            | 1            | 2            | 0            | 333          | 0            | 0            | 0            | 1           
157          | 0            | 6            | 2            | 0            | 325          | 0            | 0            | 0            | 0           
158          | 0            | 77           | 5            | 0            | 330          | 0            | 0            | 0            | 0           
159          | 0            | 80           | 5            | 0            | 335          | 0            | 0            | 0            | 0           
160          | 0            | 41           | 3            | 0            | 338          | 0            | 0            | 0            | 0           
161          | 0            | 9            | 2            | 0            | 340          | 10           | 38           | 3            | 3           
162          | 0            | 86           | 5            | 0            | 345          | 0            | 0            | 0            | 2           
163          | 0            | 20           | 2            | 0            | 347          | 0            | 0            | 0            | 1           
164          | 0            | 99           | 5            | 0            | 342          | 0            | 0            | 0            | 0           
165          | 0            | 70           | 4            | 0            | 346          | 0            | 0            | 0            | 0           
166          | 0            | 91           | 5            | 0            | 351          | 0            | 0            | 0            | 0           
167          | 0            | 4            | 2            | 0            | 353          | 0            | 0            | 0            | 0           
168          | 0            | 40           | 3            | 0            | 356          | 10           | 49           | 3            | 3           
169          | 0            | 24           | 2            | 0            | 358          | 0            | 0            | 0            | 2           
170          | 0            | 65           | 4            | 0            | 362          | 0            | 0            | 0            | 1           
171          | 0            | 89           | 5            | 0            | 357          | 0            | 0            | 0            | 0           
172          | 0            | 29           | 3            | 0            | 360          | 0            | 0            | 0            | 0           
173          | 0            | 29           | 3            | 0            | 363          | 0            | 0            | 0            | 0           
174          | 0            | 14           | 2            | 0            | 365          | 0            | 0            | 0            | 0           
175          | 0            | 73           | 4            | 0            | 369          | 10           | 33           | 3            | 3           
176          | 0            | 61           | 4            | 0            | 373          | 0            | 0            | 0            | 2           
177          | 0            | 63           | 4            | 0            | 377          | 0            | 0            | 0            | 1           
178          | 0            | 87           | 5            | 0            | 372          | 0            | 0            | 0            | 0           
179          | 0            | 24           | 2            | 0            | 374          | 0            | 0            | 0            | 0           
180          | 0            | 12           | 2            | 0            | 376          | 0            | 0            | 0            | 0           
181          | 0            | 85           | 5            | 0            | 381          | 0            | 0            | 0            | 0           
182          | 0            | 16           | 2            | 0            | 383          | 10           | 30           | 3            | 3           
183          | 0            | 27           | 3            | 0            | 386          | 0            | 0            | 0            | 2           
184          | 0            | 35           | 3            | 0            | 389          | 0            | 0            | 0            | 1           
185          | 0            | 9            | 2            | 0            | 381          | 0            | 0            | 0            | 0           
186          | 0            | 8            | 2            | 0            | 383          | 0            | 0            | 0            | 0           
187          | 0            | 55           | 4            | 0            | 387          | 0            | 0            | 0            | 0           
188          | 0            | 66           | 4            | 0            | 391          | 0            | 0            | 0            | 0           
189          | 0            | 90           | 5            | 0            | 396          | 10           | 2            | 2            | 2           
190          | 0            | 72           | 4            | 0            | 400          | 0            | 0            | 0            | 1           
