--- Demand Distribution ---
Demand,Prob,Cum_Prob,Random_Digits
3,0.1,0.1,01-10
4,0.2,0.3,11-30
5,0.3,0.6,31-60
6,0.2,0.8,61-80
7,0.15,0.95,81-95
8,0.05,1.0,96-00

--- Lead Time Distribution ---
Lead time,Prob,Cum_Prob,Random_Digits
1,0.3,0.3,01-30
2,0.5,0.8,31-80
3,0.2,1.0,81-00

--- Simulation Log ---
Cycle,Day,Begin Inv,RD Demand,Demand,End Inv,Backorder,Order Qty,RD Lead,Days Until Arrival
29,1,22,69,6,16,0,0,0,-
,2,16,48,5,11,0,0,0,-
,3,11,10,3,8,0,0,0,-
,4,8,30,4,4,0,0,0,-
,5,4,88,7,0,3,0,0,-
,6,0,99,8,0,11,0,0,-
,7,0,99,8,0,19,50,86,3
30,1,0,56,5,0,24,0,0,2
,2,0,50,5,0,29,0,0,1
,3,0,8,3,0,32,0,0,0
,4,18,73,6,12,0,0,0,-
,5,12,24,4,8,0,0,0,-
,6,8,64,6,2,0,0,0,-
,7,2,78,6,0,4,50,65,2
31,1,0,34,5,0,9,0,0,1
,2,0,31,5,0,14,0,0,0
,3,36,73,6,30,0,0,0,-
,4,30,43,5,25,0,0,0,-
,5,25,80,6,19,0,0,0,-
,6,19,64,6,13,0,0,0,-
,7,13,67,6,7,0,50,53,2
32,1,7,79,6,1,0,0,0,1
,2,1,32,5,0,4,0,0,0
,3,46,91,7,39,0,0,0,-
,4,39,78,6,33,0,0,0,-
,5,33,53,5,28,0,0,0,-
,6,28,25,4,24,0,0,0,-
,7,24,13,4,20,0,0,0,-
33,1,20,84,7,13,0,0,0,-
,2,13,90,7,6,0,0,0,-
,3,6,87,7,0,1,0,0,-
,4,0,88,7,0,8,0,0,-
,5,0,20,4,0,12,0,0,-
,6,0,58,5,0,17,0,0,-
,7,0,45,5,0,22,50,11,1
34,1,0,53,5,0,27,0,0,0
,2,23,15,4,19,0,0,0,-
,3,19,100,8,11,0,0,0,-
,4,11,4,3,8,0,0,0,-
,5,8,40,5,3,0,0,0,-
,6,3,75,6,0,3,0,0,-
,7,0,56,5,0,8,50,25,1
35,1,0,74,6,0,14,0,0,0
,2,36,53,5,31,0,0,0,-
,3,31,62,6,25,0,0,0,-
,4,25,61,6,19,0,0,0,-
,5,19,23,4,15,0,0,0,-
,6,15,46,5,10,0,0,0,-
,7,10,20,4,6,0,50,63,2
36,1,6,79,6,0,0,0,0,1
,2,0,46,5,0,5,0,0,0
,3,45,25,4,41,0,0,0,-
,4,41,12,4,37,0,0,0,-
,5,37,21,4,33,0,0,0,-
,6,33,6,3,30,0,0,0,-
,7,30,76,6,24,0,0,0,-
37,1,24,44,5,19,0,0,0,-
,2,19,74,6,13,0,0,0,-
,3,13,52,5,8,0,0,0,-
,4,8,22,4,4,0,0,0,-
,5,4,7,3,1,0,0,0,-
,6,1,16,4,0,3,0,0,-
,7,0,17,4,0,7,50,87,3
38,1,0,20,4,0,11,0,0,2
,2,0,4,3,0,14,0,0,1
,3,0,33,5,0,19,0,0,0
,4,31,21,4,27,0,0,0,-
,5,27,69,6,21,0,0,0,-
,6,21,63,6,15,0,0,0,-
,7,15,36,5,10,0,50,40,2
39,1,10,37,5,5,0,0,0,1
,2,5,50,5,0,0,0,0,0
,3,50,63,6,44,0,0,0,-
,4,44,78,6,38,0,0,0,-
,5,38,33,5,33,0,0,0,-
,6,33,43,5,28,0,0,0,-
,7,28,45,5,23,0,0,0,-
40,1,23,32,5,18,0,0,0,-
,2,18,77,6,12,0,0,0,-
,3,12,48,5,7,0,0,0,-
,4,7,66,6,1,0,0,0,-
,5,1,81,7,0,6,0,0,-
,6,0,74,6,0,12,0,0,-
,7,0,71,6,0,18,50,99,3
41,1,0,88,7,0,25,0,0,2
,2,0,10,3,0,28,0,0,1
,3,0,58,5,0,33,0,0,0
,4,17,33,5,12,0,0,0,-
,5,12,32,5,7,0,0,0,-
,6,7,89,7,0,0,0,0,-
,7,0,27,4,0,4,50,49,2
42,1,0,50,5,0,9,0,0,1
,2,0,16,4,0,13,0,0,0
,3,37,78,6,31,0,0,0,-
,4,31,58,5,26,0,0,0,-
,5,26,96,8,18,0,0,0,-
,6,18,95,7,11,0,0,0,-
,7,11,84,7,4,0,50,68,2
43,1,4,15,4,0,0,0,0,1
,2,0,61,6,0,6,0,0,0
,3,44,1,3,41,0,0,0,-
,4,41,21,4,37,0,0,0,-
,5,37,15,4,33,0,0,0,-
,6,33,62,6,27,0,0,0,-
,7,27,28,4,23,0,0,0,-
44,1,23,13,4,19,0,0,0,-
,2,19,93,7,12,0,0,0,-
,3,12,14,4,8,0,0,0,-
,4,8,90,7,1,0,0,0,-
,5,1,85,7,0,6,0,0,-
,6,0,33,5,0,11,0,0,-
,7,0,75,6,0,17,50,67,2
45,1,0,85,7,0,24,0,0,1
,2,0,44,5,0,29,0,0,0
,3,21,31,5,16,0,0,0,-
,4,16,16,4,12,0,0,0,-
,5,12,22,4,8,0,0,0,-
,6,8,18,4,4,0,0,0,-
,7,4,68,6,0,2,50,87,3
46,1,0,41,5,0,7,0,0,2
,2,0,72,6,0,13,0,0,1
,3,0,75,6,0,19,0,0,0
,4,31,12,4,27,0,0,0,-
,5,27,82,7,20,0,0,0,-
,6,20,98,8,12,0,0,0,-
,7,12,36,5,7,0,50,28,1
47,1,7,57,5,2,0,0,0,0
,2,52,83,7,45,0,0,0,-
,3,45,65,6,39,0,0,0,-
,4,39,53,5,34,0,0,0,-
,5,34,9,3,31,0,0,0,-
,6,31,38,5,26,0,0,0,-
,7,26,14,4,22,0,0,0,-
48,1,22,30,4,18,0,0,0,-
,2,18,48,5,13,0,0,0,-
,3,13,51,5,8,0,0,0,-
,4,8,93,7,1,0,0,0,-
,5,1,49,5,0,4,0,0,-
,6,0,66,6,0,10,0,0,-
,7,0,34,5,0,15,50,30,1
49,1,0,25,4,0,19,0,0,0
,2,31,84,7,24,0,0,0,-
,3,24,6,3,21,0,0,0,-
,4,21,36,5,16,0,0,0,-
,5,16,26,4,12,0,0,0,-
,6,12,19,4,8,0,0,0,-
,7,8,89,7,1,0,50,13,1
50,1,1,15,4,0,3,0,0,0
,2,47,29,4,43,0,0,0,-
,3,43,79,6,37,0,0,0,-
,4,37,43,5,32,0,0,0,-
,5,32,24,4,28,0,0,0,-
,6,28,17,4,24,0,0,0,-
,7,24,68,6,18,0,0,0,-
51,1,18,45,5,13,0,0,0,-
,2,13,83,7,6,0,0,0,-
,3,6,59,5,1,0,0,0,-
,4,1,6,3,0,2,0,0,-
,5,0,80,6,0,8,0,0,-
,6,0,84,7,0,15,0,0,-
,7,0,81,7,0,22,50,68,2
52,1,0,12,4,0,26,0,0,1
,2,0,91,7,0,33,0,0,0
,3,17,21,4,13,0,0,0,-
,4,13,64,6,7,0,0,0,-
,5,7,16,4,3,0,0,0,-
,6,3,58,5,0,2,0,0,-
,7,0,37,5,0,7,50,11,1
53,1,0,73,6,0,13,0,0,0

--- Simulation Metrics ---
Total Ending Inventory,Average Ending Inventory,Total Backorders,Number of Orders Placed,Shortage Days,Shortage Percentage
4428,12.131506849315068,1431,39,120,32.87671232876712
